"","siteID","collectDate","mean_temp","max_temp","min_temp","positiveCount","negativeCount","totalCount","positiveProportion"
"1","DELA",2018-06-06,25.6559672131148,29.968,19.63,0,16,16,0
"2","DELA",2018-06-19,27.8603766233766,33.445,23.28,0,24,24,0
"3","DELA",2018-08-23,24.0601904761905,28.973,19.536,0,8,8,0
"4","DELA",2018-09-13,26.73325,33.369,22.993,0,8,8,0
"5","DELA",2019-05-08,23.9207916666667,30.302,17.384,0,16,16,0
"6","DELA",2019-09-10,27.9845729166667,34.765,23.367,0,16,16,0
"7","HARV",2016-05-26,21.6741979166667,28.301,13.779,10,174,184,0.05
"8","HARV",2016-06-16,20.328625,26.09,14.09,4,108,112,0.04
"9","HARV",2016-07-07,23.02465625,29.474,18.656,6,82,88,0.07
"10","HARV",2017-05-30,9.91959375,14.03,6.984,23,153,176,0.13
"11","HARV",2017-06-22,18.5880833333333,24.968,11.31,13,155,168,0.08
"12","HARV",2017-07-10,19.8232604166667,25.816,13.526,11,149,160,0.07
"13","HARV",2017-07-31,19.505476744186,27.883,12.405,0,64,64,0
"14","HARV",2017-08-01,22.3280520833333,28.727,16.168,4,20,24,0.17
"15","HARV",2018-05-14,13.9247083333333,22.624,9.22,3,13,16,0.19
"16","HARV",2018-06-06,11.9176041666667,16.48,7.25,16,56,72,0.22
"17","HARV",2018-06-25,16.9491041666667,19.089,14.856,2,62,64,0.03
"18","HARV",2018-06-26,14.4549791666667,20.734,8.166,4,12,16,0.25
"19","HARV",2018-06-27,16.5961875,20.768,13.927,0,8,8,0
"20","HARV",2018-07-16,22.734625,28.304,18.129,5,139,144,0.03
"21","HARV",2018-08-07,22.9373958333333,27.715,20.515,2,54,56,0.04
"22","HARV",2018-08-27,20.8547083333333,24.524,17.617,3,29,32,0.09
"23","HARV",2018-08-28,23.0317916666667,27.891,19.844,0,8,8,0
"24","HARV",2018-09-20,13.8799270833333,16.33,11.898,0,8,8,0
"25","HARV",2019-06-04,11.0477083333333,17.094,5.516,3,53,56,0.05
"26","HARV",2019-06-05,16.6726,24.26,10.616,2,30,32,0.06
"27","HARV",2019-06-24,19.9070833333333,26.47,12.468,23,361,384,0.06
"28","HARV",2019-07-15,19.4949166666667,23.689,15.452,2,78,80,0.03
"29","HARV",2019-07-16,20.386875,26.811,13.959,29,315,344,0.08
"30","HARV",2019-08-05,18.5167291666667,24.539,11.786,11,117,128,0.09
"31","HARV",2019-08-06,19.16565625,24.517,14.056,11,133,144,0.08
"32","HARV",2019-08-26,13.7049166666667,19.727,9.051,9,95,104,0.09
"33","HARV",2019-09-16,14.5077291666667,17.689,11.392,2,14,16,0.12
"34","HARV",2019-09-17,12.6843333333333,16.625,7.564,4,52,56,0.07
"35","HARV",2020-07-02,20.1677395833333,29.273,15.318,1,23,24,0.04
"36","HARV",2020-07-05,21.91746875,29.021,17.832,2,134,136,0.01
"37","HARV",2020-07-24,21.3095833333333,27.091,18.197,0,32,32,0
"38","HARV",2020-07-26,23.14490625,28.977,17.649,2,30,32,0.06
"39","HARV",2020-08-10,23.8414375,30.056,19.417,3,13,16,0.19
"40","HARV",2020-09-04,19.3879479166667,23.359,15.421,2,38,40,0.05
"41","HARV",2021-05-13,11.98284375,18.935,3.047,0,16,16,0
"42","HARV",2021-06-23,13.8249895833333,19.29,8.265,10,70,80,0.12
"43","HARV",2021-06-24,16.5687684210526,22.065,8.409,2,70,72,0.03
"44","HARV",2021-07-15,22.2858333333333,26.657,18.149,6,42,48,0.12
"45","HARV",2021-08-03,15.842125,19.652,11.409,2,22,24,0.08
"46","HARV",2021-08-04,16.4033125,20.473,12.794,0,16,16,0
"47","HARV",2021-08-24,21.7847291666667,27.761,18.958,2,14,16,0.12
"48","HARV",2021-08-26,24.4669895833333,31.32,18.909,0,16,16,0
"49","HARV",2021-09-14,16.4085625,20.333,11.449,3,29,32,0.09
"50","HARV",2021-09-15,19.8668020833333,25.587,16.41,2,6,8,0.25
"51","HARV",2022-05-31,21.3239166666667,27.152,17.701,4,7,11,0.36
"52","HARV",2022-06-20,14.9061041666667,21.42,6.996,4,7,11,0.36
"53","HARV",2022-06-21,16.90828125,21.789,10.097,1,10,11,0.09
"54","HARV",2022-08-24,20.3602916666667,26.184,17.506,1,10,11,0.09
"55","HARV",2023-06-06,17.4750625,20.085,13.536,64,398,462,0.14
"56","HARV",2023-06-12,18.6279375,23.9,14.149,11,88,99,0.11
"57","HARV",2023-06-14,16.9355416666667,22.219,11.709,58,382,440,0.13
"58","HARV",2023-06-26,20.8565319148936,24.081,18.443,29,191,220,0.13
"59","HARV",2023-06-30,20.2343125,26.145,14.441,49,292,341,0.14
"60","HARV",2023-07-17,22.69465625,27.336,19.912,10,45,55,0.18
"61","HARV",2023-07-18,21.7919583333333,26.617,19.391,31,200,231,0.13
"62","HARV",2023-08-07,18.02603125,22.642,15.206,11,66,77,0.14
"63","HARV",2023-08-09,19.8207291666667,24.324,16.643,39,236,275,0.14
"64","HARV",2023-08-28,18.4183125,23.292,13.767,14,96,110,0.13
"65","HARV",2023-09-20,13.144329113924,17.358,10.107,13,64,77,0.17
"66","HARV",2023-09-21,13.55584375,19.402,9.267,9,79,88,0.1
